source_table,date,year,three_region_daily_shape,official_annual_tourists_thousand,annual_scale_factor,city_daily_visitor_estimate,estimate_label,series_scope,region_code,pressure_index,log_pressure,trend_component,seasonal_component,random_component
q1_city_daily_annual_constrained.csv,2023-01-01,2023.0,148852.35866121372,80255.2,3.338018251115713,496871.8899327535,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape,,,,,,
q1_city_daily_annual_constrained.csv,2023-01-02,2023.0,47826.7271833948,80255.2,3.338018251115713,159646.48822930385,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape,,,,,,
q1_city_daily_annual_constrained.csv,2023-01-03,2023.0,12172.508776753277,80255.2,3.338018251115713,40632.056458668645,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape,,,,,,
q1_city_daily_annual_constrained.csv,2023-01-04,2023.0,13319.46569926051,80255.2,3.338018251115713,44460.619599241305,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape,,,,,,
q1_city_daily_annual_constrained.csv,2023-01-05,2023.0,14055.344345462863,80255.2,3.338018251115713,46916.99595087108,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape,,,,,,
q1_city_daily_annual_constrained.csv,2023-01-06,2023.0,14702.546615609068,80255.2,3.338018251115713,49077.36894078263,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape,,,,,,
q1_city_daily_annual_constrained.csv,2023-01-07,2023.0,35789.735735935355,80255.2,3.338018251115713,119466.79108916048,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape,,,,,,
q1_city_daily_annual_constrained.csv,2023-01-08,2023.0,33323.39856518198,80255.2,3.338018251115713,111234.11259978064,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape,,,,,,
q1_city_daily_annual_constrained.csv,2023-01-09,2023.0,13700.494323654122,80255.2,3.338018251115713,45732.50010166469,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape,,,,,,
q1_city_daily_annual_constrained.csv,2023-01-10,2023.0,14271.63807383356,80255.2,3.338018251115713,47638.988363774326,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape,,,,,,
q1_city_daily_annual_constrained.csv,2023-01-11,2023.0,14389.746163738071,80255.2,3.338018251115713,48033.23532348,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape,,,,,,
q1_city_daily_annual_constrained.csv,2023-01-12,2023.0,13740.726348681794,80255.2,3.338018251115713,45866.79533548641,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape,,,,,,
q1_city_daily_annual_constrained.csv,2023-01-13,2023.0,14605.570755172675,80255.2,3.338018251115713,48753.66174872831,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape,,,,,,
q1_city_daily_annual_constrained.csv,2023-01-14,2023.0,33924.63820525727,80255.2,3.338018251115713,113241.0614916462,annual_anchor_constrained_city_daily_estimate,citywide_daily_estimate__official_annual_total_constrained__three_core_regions_supply_shape,,,,,,
